;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59140.133032	0.04167	15.714	15.683	15.745	18.41269	V	m15_data3/M15-3_20201018_031134_Oct0idkg_kait_V_c.fit
59140.139306	0.04167	16.166	16.125	16.207	18.52893	B	m15_data3/M15-3_20201018_032036_Oct0idol_kait_B_c.fit
59140.140208	0.04167	15.847	15.814	15.88	18.62235	V	m15_data3/M15-3_20201018_032154_Oct0idpb_kait_V_c.fit
59140.14647	0.04167	16.138	16.099	16.177	18.39823	B	m15_data3/M15-3_20201018_033055_Oct0idtf_kait_B_c.fit
59140.147361	0.04167	15.804	15.775	15.833	18.45401	V	m15_data3/M15-3_20201018_033212_Oct0idtv_kait_V_c.fit
59140.181586	0.04167	16.228	16.186	16.27	18.53725	B	m15_data3/M15-3_20201018_042129_Oct0ieqp_kait_B_c.fit
59140.182488	0.04167	15.776	15.744	15.808	18.3346	V	m15_data3/M15-3_20201018_042247_Oct0iere_kait_V_c.fit
59140.188785	0.04167	16.247	16.201	16.293	18.29884	B	m15_data3/M15-3_20201018_043151_Oct0ievj_kait_B_c.fit
59140.189688	0.04167	15.869	15.828	15.91	18.63505	V	m15_data3/M15-3_20201018_043309_Oct0ievy_kait_V_c.fit
59140.196042	0.04167	16.203	16.17	16.236	18.07013	B	m15_data3/M15-3_20201018_044218_Oct0ifad_kait_B_c.fit
59140.196933	0.04167	15.85	15.812	15.888	18.51918	V	m15_data3/M15-3_20201018_044335_Oct0ifat_kait_V_c.fit
59140.211262	0.04167	16.222	16.182	16.262	18.2153	B	m15_data3/M15-3_20201018_050413_Oct0ifkh_kait_B_c.fit
59140.212164	0.04167	15.831	15.798	15.864	18.22456	V	m15_data3/M15-3_20201018_050531_Oct0ifkw_kait_V_c.fit
59140.218449	0.04167	16.212	16.176	16.248	17.96744	B	m15_data3/M15-3_20201018_051434_Oct0ifpb_kait_B_c.fit
59140.219352	0.04167	15.917	15.873	15.961	18.49606	V	m15_data3/M15-3_20201018_051552_Oct0ifpr_kait_V_c.fit
59140.239745	0.04167	16.225	16.189	16.261	17.94589	B	m15_data3/M15-3_20201018_054514_Oct0igdf_kait_B_c.fit
59140.240637	0.04167	15.912	15.871	15.953	18.33306	V	m15_data3/M15-3_20201018_054631_Oct0igdv_kait_V_c.fit
59140.246944	0.04167	16.355	16.313	16.397	18.35363	B	m15_data3/M15-3_20201018_055536_Oct0igia_kait_B_c.fit
59140.247882	0.04167	15.891	15.845	15.937	18.3597	V	m15_data3/M15-3_20201018_055657_Oct0igiq_kait_V_c.fit
59140.268275	0.04167	16.291	16.249	16.333	18.06696	B	m15_data3/M15-3_20201018_062619_Oct0igwf_kait_B_c.fit
59140.269178	0.04167	15.915	15.881	15.949	18.15842	V	m15_data3/M15-3_20201018_062737_Oct0igwu_kait_V_c.fit
59141.108206	0.04167	15.7	15.672	15.728	18.51413	B	m15_data3/M15-3_20201019_023549_Oct0jctu_kait_B_c.fit
59141.109097	0.04167	15.47	15.448	15.492	18.61893	V	m15_data3/M15-3_20201019_023706_Oct0jcuk_kait_V_c.fit
59141.115428	0.04167	15.616	15.586	15.646	18.5723	B	m15_data3/M15-3_20201019_024613_Oct0jcyp_kait_B_c.fit
59141.116331	0.04167	15.404	15.38	15.428	18.69716	V	m15_data3/M15-3_20201019_024731_Oct0jcze_kait_V_c.fit
59141.122639	0.04167	15.502	15.479	15.525	18.65344	B	m15_data3/M15-3_20201019_025636_Oct0jddk_kait_B_c.fit
59141.123519	0.04167	15.334	15.312	15.356	18.66011	V	m15_data3/M15-3_20201019_025752_Oct0jddz_kait_V_c.fit
59141.136678	0.04167	15.441	15.417	15.465	18.4187	B	m15_data3/M15-3_20201019_031649_Oct0jdms_kait_B_c.fit
59141.137569	0.04167	15.279	15.254	15.304	18.56843	V	m15_data3/M15-3_20201019_031806_Oct0jdni_kait_V_c.fit
59141.143889	0.04167	15.402	15.376	15.428	18.5834	B	m15_data3/M15-3_20201019_032712_Oct0jdrn_kait_B_c.fit
59141.14478	0.04167	15.235	15.213	15.257	17.9517	V	m15_data3/M15-3_20201019_032829_Oct0jdsd_kait_V_c.fit
59141.151019	0.04167	15.466	15.446	15.486	18.4826	B	m15_data3/M15-3_20201019_033728_Oct0jdwg_kait_B_c.fit
59141.15191	0.04167	15.265	15.247	15.283	18.26772	V	m15_data3/M15-3_20201019_033845_Oct0jdwv_kait_V_c.fit
59141.174259	0.04167	15.362	15.338	15.386	17.90698	V	m15_data3/M15-3_20201019_041056_Oct0jels_kait_V_c.fit
59141.180579	0.04167	15.602	15.576	15.628	18.46064	B	m15_data3/M15-3_20201019_042002_Oct0jepx_kait_B_c.fit
59141.181481	0.04167	15.412	15.387	15.437	18.25881	V	m15_data3/M15-3_20201019_042120_Oct0jeqm_kait_V_c.fit
59141.194676	0.04167	15.701	15.67	15.732	18.45225	B	m15_data3/M15-3_20201019_044020_Oct0jezh_kait_B_c.fit
59141.209051	0.04167	15.699	15.672	15.726	18.34357	B	m15_data3/M15-3_20201019_050102_Oct0jfiv_kait_B_c.fit
