#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-22T22:06:40 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60a97fbb1d3821	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/MNRAS/419/2173/table5a
#-nav=cat:J/MNRAS/419/2173&tab:{J/MNRAS/419/2173/table5a}&key:source=J/MNRAS/419/2173/table5b&HTTPPRM:&&-ref=VIZ60a97fbb1d3821&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Star&-out=m_Star&-out=Perm&-out=JD0&-out=JD1&-out=HJDm&-out=N&-out=O-C&-out=e_O-C&-file=.&-meta.ucd=0&-meta=0&-usenav=1&-bmark=POST&-out.src=J/MNRAS/419/2173/table5a
#-source=J/MNRAS/419/2173/table5a
#-out=Star
#-out=m_Star
#-out=Perm
#-out=JD0
#-out=JD1
#-out=HJDm
#-out=N
#-out=O-C
#-out=e_O-C
#

#RESOURCE=yCat_74192173
#Name: J/MNRAS/419/2173
#Title: Long-term photometry of M3 RR Lyrae (Jursik+, 2012)
#Table	J_MNRAS_419_2173_table5a:
#Name: J/MNRAS/419/2173/table5a
#Title: O-C values
#Column	Star	(A3)	Star number, <Cl* NGC 5272 Saw VNNN> in Simbad	[ucd=meta.id;meta.main]
#Column	m_Star	(A1)	[ab] Multiplicity index on Star	[ucd=meta.code.multip]
#Column	Perm	(F11.8)	Mean period	[ucd=time.period;stat.mean]
#Column	JD0	(F7.1)	Time interval, lower value (JD-2400000)	[ucd=time.epoch]
#Column	JD1	(F7.1)	Time interval, upper value (JD-2400000)	[ucd=time.epoch]
#Column	HJDm	(F9.1)	Mead HJD of observation	[ucd=time.epoch;obs]
#Column	N	(I3)	Number of observation	[ucd=meta.number]
#Column	O-C	(F7.4)	Residual on HJDm	[ucd=stat.fit.residual]
#Column	e_O-C	(F7.4)	rms uncertainty on O-C	[ucd=stat.error;stat.fit.omc]
Star	m_Star	Perm	JD0	JD1	HJDm	N	O-C	e_O-C
 	 	d	d	d	d	 	d	d
---	-	-----------	-------	-------	---------	---	-------	-------
001	 	 0.52061350	13372.5	14079.7	2413804.0	 16	-0.2474	 0.0128
001	 	 0.52061350	14437.5	15161.9	2415044.7	 32	-0.1843	 0.0059
001	 	 0.52061350	22455.4	22840.6	2422750.7	131	 0.0764	 0.0011
001	 	 0.52061350	23858.5	24684.9	2424470.8	157	 0.1268	 0.0011
001	 	 0.52061350	28963.4	30078.6	2429736.9	 31	 0.2083	 0.0029
001	 	 0.52061350	33034.5	33763.6	2433486.2	 44	 0.2356	 0.0020
001	 	 0.52061350	34076.5	34834.5	2434317.8	 94	 0.2423	 0.0010
001	 	 0.52061350	35219.3	35933.6	2435559.0	133	 0.2478	 0.0015
001	 	 0.52061350	36367.3	37131.4	2436772.7	 95	 0.2446	 0.0017
001	 	 0.52061350	37757.5	38502.6	2438060.7	 21	 0.2262	 0.0035
001	 	 0.52061350	42838.5	43254.6	2443042.2	 60	 0.1603	 0.0018
001	 	 0.52061350	43597.3	44343.5	2443912.7	 50	 0.1812	 0.0059
001	 	 0.52061350	47276.3	47555.6	2447505.2	 51	 0.0450	 0.0022
001	 	 0.52061350	48755.6	49092.0	2448939.0	183	 0.0001	 0.0005
001	 	 0.52061350	50162.4	50176.8	2450170.9	169	-0.0403	 0.0010
001	 	 0.52061350	50896.5	51283.6	2450964.6	233	-0.0670	 0.0003
001	 	 0.52061350	54869.5	54965.5	2454929.0	725	-0.2271	 0.0005
003	 	 0.55820400	13372.5	14079.7	2413822.0	 14	-0.0534	 0.0092
003	 	 0.55820400	14437.5	15161.9	2415076.8	 29	-0.0486	 0.0077
003	 	 0.55820400	22730.5	22761.7	2422757.0	 51	-0.0184	 0.0018
003	 	 0.55820400	23858.5	24684.9	2424515.4	125	-0.0209	 0.0019
003	 	 0.55820400	28963.4	30078.6	2429713.6	 32	 0.0012	 0.0023
003	 	 0.55820400	33390.4	33763.6	2433500.4	 41	 0.0044	 0.0029
003	 	 0.55820400	34118.3	34567.4	2434229.0	 55	-0.0046	 0.0030
003	 	 0.55820400	35223.4	35933.6	2435516.4	 61	-0.0042	 0.0021
003	 	 0.55820400	36991.4	37058.6	2437029.9	 15	 0.0061	 0.0067
003	 	 0.55820400	37791.3	37791.6	2437791.5	 13	-0.0462	 0.0081
