#Summary of datasets of the variables used in the period-change analysis. The available observations 
#are marked by ‘+’ symbol. Asterisks indicate the datasets used for the construction of the mean 
#light curves. The columns refer to the datasets’ number as given in Tables 1 and 2 of the article.

Star   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24

v001   +   -   +   +   -   +   +   -   -   -   +   -   +   -   +   +   +   -   *   +   +   +   -   +   
v003   +   -   +   +   -   +   +   -   -   -   -   -   -   -   +   -   +   -   *   -   -   +   -   +   
v005   +   +   +   +   -   +   +   +   +   +   -   +   +   -   +   +   +   -   +   -   +   +   -   +   
v006   +   -   +   +   +   +   +   -   -   -   +   -   +   -   +   +   +   +   *   -   +   +   -   +   
v007   +   -   +   +   -   +   -   -   -   -   -   -   -   -   -   -   +   -   *   -   +   +   -   +   
v009   +   +   +   +   +   +   +   +   +   +   +   -   +   -   +   +   +   -   *   -   +   +   +   +   
v010   +   +   +   +   -   +   +   +   +   +   +   -   +   -   +   +   +   +   *   +   +   +   +   +   
v011   +   +   +   +   +   +   +   +   +   +   +   -   +   -   +   +   +   -   *   +   +   +   -   +   
v012   +   -   +   +   +   +   +   -   -   -   +   -   +   -   -   +   +   -   *   +   +   +   -   +   
v013   +   -   *   +   -   +   +   -   -   -   +   -   +   -   +   +   +   -   *   +   -   +   +   +   
v014   +   -   +   +   -   +   +   -   -   -   +   -   +   -   +   +   +   -   *   +   -   +   -   +   
v015   +   -   +   +   +   +   +   -   -   -   +   -   +   -   +   +   +   -   *   +   -   +   +   +   
v016   +   +   +   +   +   +   +   +   +   +   +   -   +   -   +   +   +   -   *   -   -   +   -   +   
v017   +   +   +   +   -   +   +   +   +   +   +   -   -   -   +   +   +   -   *   +   +   +   -   +   
v018   +   +   +   +   -   +   +   +   +   +   +   -   +   -   +   +   +   -   *   +   +   +   +   +   
v019   +   -   +   +   -   +   +   -   -   -   +   -   +   -   +   +   +   -   *   -   +   +   -   +   
v020   +   +   +   +   -   +   +   -   +   +   +   -   +   -   +   +   +   -   *   -   +   +   +   +   
v021   +   +   +   +   -   +   +   +   +   +   -   -   +   -   +   +   +   -   *   -   +   +   -   +   
v022   +   +   +   +   -   +   +   +   +   +   +   -   +   -   +   +   +   -   *   -   +   +   -   +   
v023   +   +   +   +   -   +   +   +   +   +   -   -   -   -   +   +   +   -   *   +   +   +   -   +   
v024   +   -   +   +   +   +   +   -   -   -   -   -   +   -   +   +   +   +   *   -   +   +   -   +   
v025   +   -   +   +   -   +   +   -   -   -   -   -   +   -   +   +   +   +   *   -   -   +   -   +   
v026   +   -   +   +   -   +   +   -   -   -   -   -   +   -   +   +   +   -   *   -   -   +   -   +   
v027   +   -   +   +   -   +   +   -   -   -   -   -   +   -   +   +   +   +   *   -   +   +   -   +   
v028   +   -   +   +   -   +   +   -   -   -   -   -   +   -   +   +   +   +   *   -   -   +   -   +   
v030   +   -   +   +   -   +   +   -   -   -   -   -   -   -   +   -   +   +   *   -   -   +   -   -   
v031   +   -   +   +   -   +   +   -   -   -   -   -   -   -   +   +   +   +   *   -   +   +   -   +   
v032   +   -   +   +   -   +   +   -   -   -   -   -   -   -   +   +   +   +   *   -   +   +   -   +   
v033   +   -   +   +   -   +   +   -   -   -   -   -   -   -   +   +   +   -   *   -   -   +   -   +   
v034   +   -   +   +   -   +   +   -   -   -   +   -   +   -   +   +   +   +   *   +   +   +   -   +   
v035   +   +   +   +   -   +   +   +   +   +   -   +   +   -   +   +   +   -   *   +   -   +   -   +   
v036   +   +   +   +   -   +   +   -   +   +   +   -   +   -   +   +   +   -   *   -   +   +   +   +   
v037   +   +   +   +   +   +   +   +   +   +   -   -   +   -   +   +   +   -   *   -   +   +   +   +   
v038   +   +   +   +   +   +   +   -   +   +   -   +   +   -   +   +   +   -   *   -   +   +   -   +   
v039   +   +   +   +   +   +   +   +   +   +   -   -   +   -   +   +   +   -   *   -   +   +   +   +   
v040   +   +   +   +   +   +   +   +   +   +   -   -   +   -   +   +   +   -   *   -   +   +   -   +   
