#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-04-11T01:51:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ607236972d5731	
#INFO	-out.max=1000	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/MNRAS/419/2173&tab:{J/MNRAS/419/2173/table8a}&key:source=J/MNRAS/419/2173/table5b&HTTPPRM:&&-ref=VIZ607236972d5731&-out.max=1000&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-out.src=J/MNRAS/419/2173/table5b&-out=Star&-out=m_Star&-out=Perm&-out=JD0&-out=JD1&-out=HJDm&-out=N&-out=Per&-out=e_Per&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-source= J/MNRAS/419/2173/table8a
#-out.src=J/MNRAS/419/2173/table5b
#-out=Star
#-out=m_Star
#-out=Perm
#-out=JD0
#-out=JD1
#-out=HJDm
#-out=N
#-out=Per
#-out=e_Per
#

#RESOURCE=yCat_74192173
#Name: J/MNRAS/419/2173
#Title: Long-term photometry of M3 RR Lyrae (Jursik+, 2012)
#Table	J_MNRAS_419_2173_table8a:
#Name: J/MNRAS/419/2173/table8a
#Title: Fourier parameters of the combined CCD V light curves of RRab variables with stable light curves
#Column	Star	(A3)	Star number, <Cl* NGC 5272 Saw VNNN> in Simbad	[ucd=meta.id;meta.main]
#Column	dPt	(A2)	[npsi ] Period-change type (G1)	[ucd=meta.note]
#Column	Oo	(I3)	[I II] Oosterhoff classification [NULL integer written as an empty string]	[ucd=src.class]
#Column	Per	(F10.7)	Period	[ucd=time.period]
#Column	Vmag	(F6.3)	Mean V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Vmagi	(F6.3)	Intensity averaged mean V magnitude	[ucd=phot.mag;em.opt.V]
#Column	A1	(F6.3)	Fist order Fourier coefficient	[ucd=stat.fit.param]
#Column	A2	(F6.3)	Second order Fourier coefficient	[ucd=stat.fit.param]
#Column	A3	(F6.3)	Third order Fourier coefficient	[ucd=stat.fit.param]
#Column	A4	(F6.3)	Fourth order Fourier coefficient	[ucd=stat.fit.param]
#Column	A5	(F6.3)	Fitth order Fourier coefficient	[ucd=stat.fit.param]
#Column	phi21	(F6.3)	{phi}_21_ Fourier coefficient	[ucd=stat.fit.param]
#Column	phi31	(F6.3)	{phi}_31_ Fourier coefficient	[ucd=stat.fit.param]
#Column	phi41	(F6.3)	{phi}_41_ Fourier coefficient	[ucd=stat.fit.param]
#Column	phi51	(F6.3)	{phi}_51_ Fourier coefficient	[ucd=stat.fit.param]
#Column	Vamp	(F5.2)	Amplitude in V band	[ucd=phot.mag;em.opt.V]
#Column	Sets	(a14)	Datasets used	[ucd=meta.id]
Star;dPt;Oo;Per;Vmag;Vmagi;A1;A2;A3;A4;A5;phi21;phi31;phi41;phi51;Vamp;Sets
 ; ; ;d;mag;mag;mag;mag;mag;mag;mag;rad;rad;rad;rad;mag;
---;--;---;----------;------;------;------;------;------;------;------;------;------;------;------;-----;--------------
001;n ;1; 0.5205962;15.690;15.632; 0.405; 0.175; 0.137; 0.096; 0.069; 2.341; 4.734; 1.105; 3.749; 1.17;19,22
006;p ;1; 0.5143345;15.758;15.705; 0.385; 0.178; 0.139; 0.091; 0.063; 2.267; 4.820; 1.152; 3.848; 1.13;22,24
009;ni;1; 0.5415533;15.694;15.647; 0.366; 0.163; 0.128; 0.087; 0.061; 2.264; 4.801; 1.194; 3.878; 1.06;19,22,24
011;n ;1; 0.5078914;15.699;15.631; 0.437; 0.198; 0.152; 0.099; 0.073; 2.265; 4.762; 1.118; 3.729; 1.26;19,20,22,24
015;p ;1; 0.5300847;15.668;15.617; 0.380; 0.169; 0.135; 0.089; 0.064; 2.230; 4.740; 1.067; 3.697; 1.09;19,20,22,24
016;n ;1; 0.5114926;15.761;15.704; 0.398; 0.186; 0.145; 0.092; 0.067; 2.281; 4.849; 1.197; 3.883; 1.17;19,22,24
018;i ;1; 0.5164542;15.755;15.701; 0.384; 0.183; 0.141; 0.093; 0.062; 2.280; 4.858; 1.229; 3.913; 1.14;20,21,22,24
019;n ;1; 0.6319765;15.695;15.685; 0.184; 0.074; 0.039; 0.014; 0.007; 2.581; 5.486; 2.388; 6.104; 0.45;19,21,22,24
021;pi;1; 0.5157610;15.726;15.671; 0.392; 0.184; 0.142; 0.093; 0.064; 2.272; 4.842; 1.195; 3.828; 1.16;22,24
025;i ;1; 0.4800621;15.741;15.674; 0.425; 0.200; 0.147; 0.099; 0.070; 2.254; 4.633; 1.004; 3.477; 1.20;18,19,22
026;ni;2; 0.5977426;15.641;15.602; 0.336; 0.153; 0.120; 0.077; 0.053; 2.297; 4.924; 1.362; 4.140; 0.99;19,22,24
027;n ;1; 0.5790647;15.684;15.653; 0.301; 0.148; 0.105; 0.066; 0.039; 2.367; 5.145; 1.621; 4.490; 0.88;21,22,24
030;s ;1; 0.5120891;15.725;15.675; 0.356; 0.188; 0.146; 0.092; 0.063; 2.326; 4.940; 1.320; 4.025; 1.13;22
031;si;2; 0.5807222;15.611;15.555; 0.389; 0.196; 0.139; 0.095; 0.063; 2.342; 5.049; 1.402; 4.249; 1.18;19,22
032;n ;1; 0.4953497;15.732;15.672; 0.417; 0.176; 0.144; 0.096; 0.060; 2.282; 4.674; 1.064; 3.596; 1.17;19,22,24
036;i ;2; 0.5455931;15.667;15.606; 0.409; 0.194; 0.146; 0.097; 0.067; 2.270; 4.907; 1.255; 3.970; 1.20;22,24
040;n ;1; 0.5515380;15.717;15.677; 0.336; 0.160; 0.119; 0.076; 0.049; 2.297; 4.957; 1.372; 4.156; 0.98;19,20,22,24
042;ni;2; 0.5900917;15.563;15.495; 0.437; 0.217; 0.144; 0.096; 0.070; 2.356; 5.055; 1.430; 4.263; 1.25;19,22
046;p ;1; 0.6133852;15.716;15.703; 0.208; 0.090; 0.055; 0.025; 0.010; 2.511; 5.360; 2.060; 5.455; 0.54;19,22,24
