#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-04-10T23:39:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)
#INFO	-ref=VIZ607236972d5731
#INFO	-out.max=1000
#INFO	queryParameters=18
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-nav=cat:J/MNRAS/419/2173&tab:{J/MNRAS/419/2173/table5b}&key:source=J/MNRAS/419/2173/table5b&HTTPPRM:&&-ref=VIZ607236972d5731&-out.max=1000&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-out.src=J/MNRAS/419/2173/table5b&-out=Star&-out=m_Star&-out=Perm&-out=JD0&-out=JD1&-out=HJDm&-out=N&-out=Per&-out=e_Per&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-out.src=J/MNRAS/419/2173/table5b
#-source=J/MNRAS/419/2173/table5b
#-out=Star
#-out=m_Star
#-out=Perm
#-out=JD0
#-out=JD1
#-out=HJDm
#-out=N
#-out=Per
#-out=e_Per
#

#RESOURCE=yCat_74192173
#Name: J/MNRAS/419/2173
#Title: Long-term photometry of M3 RR Lyrae (Jursik+, 2012)
#Table	J_MNRAS_419_2173_table5b:
#Name: J/MNRAS/419/2173/table5b
#Title: Temporal periods
#Column	Star	(A3)	Star number, <Cl* NGC 5272 Saw VNNN> in Simbad	[ucd=meta.id;meta.main]
#Column	m_Star	(A1)	[ab] Multiplicity index on Star	[ucd=meta.code.multip]
#Column	Perm	(F11.8)	Mean period	[ucd=time.period;stat.mean]
#Column	JD0	(F7.1)	Time interval, lower value (HJD-2400000)	[ucd=time.epoch]
#Column	JD1	(F7.1)	Time interval, upper value (HJD-2400000)	[ucd=time.epoch]
#Column	HJDm	(F9.1)	Mead HJD of observation	[ucd=time.epoch;obs]
#Column	N	(I4)	Number of observations	[ucd=meta.number]
#Column	Per	(F10.7)	Residual on period	[ucd=stat.fit.residual;time.period]
#Column	e_Per	(F10.7)	rms uncertainty on Per	[ucd=stat.error]
Star;m_Star;Perm;JD0;JD1;HJDm;N;Per;e_Per
 ; ;d;d;d;d; ;d;d
---;-;-----------;-------;-------;---------;----;----------;----------
001; ; 0.52061350;13372.5;15161.9;2414631.1;  48; 0.5206534; 0.0000039
001; ; 0.52061350;22455.4;24684.9;2423688.4; 288; 0.5206284; 0.0000005
001; ; 0.52061350;28963.4;34567.4;2433232.6; 166; 0.5206175; 0.0000003
001; ; 0.52061350;34826.3;38502.6;2436216.4; 252; 0.5206096; 0.0000006
001; ; 0.52061350;42838.5;44343.5;2443437.9; 110; 0.5206131; 0.0000032
001; ; 0.52061350;47276.3;49092.0;2448626.5; 234; 0.5205958; 0.0000005
001; ; 0.52061350;50162.4;54965.5;2453395.9;1127; 0.5205926; 0.0000001
003; ; 0.55820400;13372.5;15161.9;2414668.3;  43; 0.5581993; 0.0000036
003; ; 0.55820400;22730.5;24684.9;2424005.9; 176; 0.5582042; 0.0000009
003; ; 0.55820400;28963.4;34567.4;2432866.8; 128; 0.5582040; 0.0000004
003; ; 0.55820400;35223.4;37791.6;2436103.8;  89; 0.5582075; 0.0000016
003; ; 0.55820400;42838.5;44343.5;2443480.8;  90; 0.5582043; 0.0000038
003; ; 0.55820400;47276.3;49092.0;2448644.0; 231; 0.5582012; 0.0000007
003; ; 0.55820400;50622.7;54965.5;2453977.7; 786; 0.5581959; 0.0000002
006; ; 0.51432675;13372.5;15161.9;2414645.9;  50; 0.5143197; 0.0000014
006; ; 0.51432675;22455.4;24684.9;2423816.0; 330; 0.5143216; 0.0000004
006; ; 0.51432675;28963.4;34567.4;2433202.3; 164; 0.5143258; 0.0000002
006; ; 0.51432675;34826.3;38502.7;2436252.9; 258; 0.5143291; 0.0000005
006; ; 0.51432675;42838.5;44343.5;2443470.8; 115; 0.5143271; 0.0000027
006; ; 0.51432675;47276.3;49810.5;2448532.8; 294; 0.5143312; 0.0000003
006; ; 0.51432675;50896.5;54965.5;2453893.6; 975; 0.5143345; 0.0000001
007; ; 0.49742780;13372.5;15161.9;2414823.1;  35; 0.4974271; 0.0000022
007; ; 0.49742780;22733.4;24684.9;2424084.9; 159; 0.4974306; 0.0000016
007; ; 0.49742780;42838.5;44343.5;2443440.8;  87; 0.4974444; 0.0000046
007; ; 0.49742780;47553.5;49092.0;2448680.1; 224; 0.4974306; 0.0000019
