;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59295.357755	0.04167	16.311	16.273	16.349	18.04396	B	m3_data/M3-2_20210322_083510_Mar1mjdr_kait_B_c.fit
59295.358657	0.04167	15.937	15.905	15.969	17.94091	V	m3_data/M3-2_20210322_083628_Mar1mjeg_kait_V_c.fit
59295.359502	0.04167	15.655	15.619	15.691	17.82259	R	m3_data/M3-2_20210322_083741_Mar1mjev_kait_R_c.fit
59295.360405	0.04167	15.334	15.289	15.379	17.1446	I	m3_data/M3-2_20210322_083859_Mar1mjfk_kait_I_c.fit
59295.362118	0.04167	16.255	16.212	16.298	18.06898	B	m3_data/M3-2_20210322_084127_Mar1mjgp_kait_B_c.fit
59295.363021	0.04167	15.944	15.908	15.98	18.03604	V	m3_data/M3-2_20210322_084245_Mar1mjhd_kait_V_c.fit
59295.363947	0.04167	15.712	15.679	15.745	17.86736	R	m3_data/M3-2_20210322_084405_Mar1mjht_kait_R_c.fit
59295.364838	0.04167	15.377	15.342	15.412	17.38375	I	m3_data/M3-2_20210322_084522_Mar1mjij_kait_I_c.fit
59295.366574	0.04167	16.308	16.267	16.349	17.57911	B	m3_data/M3-2_20210322_084752_Mar1mjjn_kait_B_c.fit
59295.367465	0.04167	15.979	15.948	16.01	17.67726	V	m3_data/M3-2_20210322_084909_Mar1mjkc_kait_V_c.fit
59295.36831	0.04167	15.675	15.641	15.709	17.79684	R	m3_data/M3-2_20210322_085022_Mar1mjks_kait_R_c.fit
59295.369213	0.04167	15.308	15.265	15.351	17.32688	I	m3_data/M3-2_20210322_085140_Mar1mjlg_kait_I_c.fit
59295.495648	0.04167	16.326	16.276	16.376	18.07086	B	m3_data/M3-2_20210322_115344_Mar1mmri_kait_B_c.fit
59295.496551	0.04167	15.989	15.949	16.029	17.98447	V	m3_data/M3-2_20210322_115502_Mar1mmrx_kait_V_c.fit
59295.497396	0.04167	15.753	15.71	15.796	17.63469	R	m3_data/M3-2_20210322_115615_Mar1mmsm_kait_R_c.fit
59295.498299	0.04167	15.387	15.337	15.437	16.94272	I	m3_data/M3-2_20210322_115733_Mar1mmtb_kait_I_c.fit
59295.500093	0.04167	16.321	16.277	16.365	17.74663	B	m3_data/M3-2_20210322_120008_Mar1mmuf_kait_B_c.fit
59295.500961	0.04167	15.974	15.939	16.009	17.58533	V	m3_data/M3-2_20210322_120123_Mar1mmuv_kait_V_c.fit
59295.501817	0.04167	15.688	15.652	15.724	17.34005	R	m3_data/M3-2_20210322_120237_Mar1mmvk_kait_R_c.fit
59295.502708	0.04167	15.34	15.301	15.379	16.83739	I	m3_data/M3-2_20210322_120354_Mar1mmvz_kait_I_c.fit
59295.504433	0.04167	16.328	16.276	16.38	17.74902	B	m3_data/M3-2_20210322_120623_Mar1mmxe_kait_B_c.fit
59295.505336	0.04167	15.958	15.925	15.991	17.51899	V	m3_data/M3-2_20210322_120741_Mar1mmxs_kait_V_c.fit
59295.506181	0.04167	15.676	15.645	15.707	17.24995	R	m3_data/M3-2_20210322_120854_Mar1mmyi_kait_R_c.fit
59295.50706	0.04167	15.333	15.293	15.373	16.73165	I	m3_data/M3-2_20210322_121010_Mar1mmyx_kait_I_c.fit
59300.339641	0.04167	15.152	15.129	15.175	17.42478	B	m3_data/M3-2_20210327_080905_Mar1rirq_kait_B_c.fit
59300.340532	0.04167	15.07	15.049	15.091	17.16802	V	m3_data/M3-2_20210327_081022_Mar1risf_kait_V_c.fit
59300.341389	0.04167	14.976	14.955	14.997	17.1028	R	m3_data/M3-2_20210327_081136_Mar1risu_kait_R_c.fit
59300.342361	0.04167	14.868	14.838	14.898	16.56666	I	m3_data/M3-2_20210327_081300_Mar1ritj_kait_I_c.fit
59300.344086	0.04167	15.145	15.117	15.173	17.49412	B	m3_data/M3-2_20210327_081529_Mar1riup_kait_B_c.fit
59300.344988	0.04167	15.084	15.066	15.102	17.54365	V	m3_data/M3-2_20210327_081647_Mar1rive_kait_V_c.fit
59300.345845	0.04167	15.002	14.98	15.024	17.45512	R	m3_data/M3-2_20210327_081801_Mar1rivt_kait_R_c.fit
59300.346736	0.04167	14.861	14.827	14.895	16.74877	I	m3_data/M3-2_20210327_081918_Mar1riwi_kait_I_c.fit
59300.348461	0.04167	15.167	15.144	15.19	17.73966	B	m3_data/M3-2_20210327_082147_Mar1rixm_kait_B_c.fit
59300.349352	0.04167	15.128	15.11	15.146	17.64815	V	m3_data/M3-2_20210327_082304_Mar1riyb_kait_V_c.fit
59300.350208	0.04167	15.046	15.026	15.066	17.58749	R	m3_data/M3-2_20210327_082418_Mar1riyr_kait_R_c.fit
59300.351111	0.04167	14.901	14.872	14.93	16.96635	I	m3_data/M3-2_20210327_082536_Mar1rizf_kait_I_c.fit
59302.471204	0.04167	15.452	15.378	15.526	16.10478	B	m3_data/M3-2_20210329_111832_Mar1tmbb_kait_B_c.fit
59302.472118	0.04167	15.483	15.415	15.551	15.80226	V	m3_data/M3-2_20210329_111951_Mar1tmbr_kait_V_c.fit
59302.472963	0.04167	15.567	15.488	15.646	15.80461	R	m3_data/M3-2_20210329_112104_Mar1tmcg_kait_R_c.fit
59302.473866	0.04167	15.232	15.139	15.325	15.13556	I	m3_data/M3-2_20210329_112222_Mar1tmcv_kait_I_c.fit
59302.47559	0.04167	15.155	15.104	15.206	16.27111	B	m3_data/M3-2_20210329_112451_Mar1tmdz_kait_B_c.fit
59302.476481	0.04167	14.969	14.931	15.007	16.07224	V	m3_data/M3-2_20210329_112608_Mar1tmeo_kait_V_c.fit
59302.477326	0.04167	14.901	14.862	14.94	15.82712	R	m3_data/M3-2_20210329_112721_Mar1tmfd_kait_R_c.fit
59302.478229	0.04167	14.762	14.701	14.823	15.19024	I	m3_data/M3-2_20210329_112839_Mar1tmfs_kait_I_c.fit
59302.479954	0.04167	15.262	15.202	15.322	16.15494	B	m3_data/M3-2_20210329_113108_Mar1tmgx_kait_B_c.fit
59302.480868	0.04167	15.134	15.087	15.181	15.95565	V	m3_data/M3-2_20210329_113227_Mar1tmhm_kait_V_c.fit
59302.481713	0.04167	16.259	16.056	16.462	15.54165	R	m3_data/M3-2_20210329_113340_Mar1tmib_kait_R_c.fit
59302.482616	0.04167	14.997	14.898	15.096	14.93534	I	m3_data/M3-2_20210329_113458_Mar1tmiq_kait_I_c.fit
59305.455266	0.04167	16.451	16.389	16.513	17.63798	B	m3_data/M3-2_20210401_105535_Apr11lqm_kait_B_c.fit
59305.456134	0.04167	16.057	16.015	16.099	17.53797	V	m3_data/M3-2_20210401_105650_Apr11lrb_kait_V_c.fit
59305.457002	0.04167	15.809	15.766	15.852	17.46539	R	m3_data/M3-2_20210401_105805_Apr11lrq_kait_R_c.fit
59305.457963	0.04167	15.427	15.38	15.474	16.94982	I	m3_data/M3-2_20210401_105928_Apr11lsf_kait_I_c.fit
59305.459664	0.04167	16.42	16.352	16.488	17.50996	B	m3_data/M3-2_20210401_110155_Apr11ltk_kait_B_c.fit
59305.460556	0.04167	16.012	15.971	16.053	17.46067	V	m3_data/M3-2_20210401_110312_Apr11ltz_kait_V_c.fit
59305.461412	0.04167	15.771	15.73	15.812	17.42269	R	m3_data/M3-2_20210401_110426_Apr11luo_kait_R_c.fit
59305.462303	0.04167	15.467	15.419	15.515	16.78952	I	m3_data/M3-2_20210401_110543_Apr11lvd_kait_I_c.fit
