;; MJD	etburst	mag	-emag	+emag	limmag	filter	imagename
59295.357755	0.04167	15.173	15.143	15.203	18.03673	B	m3_data/M3-2_20210322_083510_Mar1mjdr_kait_B_c.fit
59295.358657	0.04167	14.767	14.743	14.791	17.93961	V	m3_data/M3-2_20210322_083628_Mar1mjeg_kait_V_c.fit
59295.359502	0.04167	14.4	14.377	14.423	17.81715	R	m3_data/M3-2_20210322_083741_Mar1mjev_kait_R_c.fit
59295.360405	0.04167	14.072	14.037	14.107	17.16546	I	m3_data/M3-2_20210322_083859_Mar1mjfk_kait_I_c.fit
59295.362118	0.04167	15.126	15.102	15.15	18.063	B	m3_data/M3-2_20210322_084127_Mar1mjgp_kait_B_c.fit
59295.363021	0.04167	14.777	14.752	14.802	18.02974	V	m3_data/M3-2_20210322_084245_Mar1mjhd_kait_V_c.fit
59295.363947	0.04167	14.413	14.386	14.44	17.86809	R	m3_data/M3-2_20210322_084405_Mar1mjht_kait_R_c.fit
59295.364838	0.04167	14.081	14.046	14.116	17.39794	I	m3_data/M3-2_20210322_084522_Mar1mjij_kait_I_c.fit
59295.366574	0.04167	15.136	15.102	15.17	17.57854	B	m3_data/M3-2_20210322_084752_Mar1mjjn_kait_B_c.fit
59295.367465	0.04167	14.706	14.677	14.735	17.67855	V	m3_data/M3-2_20210322_084909_Mar1mjkc_kait_V_c.fit
59295.36831	0.04167	14.448	14.42	14.476	17.79999	R	m3_data/M3-2_20210322_085022_Mar1mjks_kait_R_c.fit
59295.369213	0.04167	14.083	14.054	14.112	17.34366	I	m3_data/M3-2_20210322_085140_Mar1mjlg_kait_I_c.fit
59295.495648	0.04167	15.319	15.285	15.353	18.06755	B	m3_data/M3-2_20210322_115344_Mar1mmri_kait_B_c.fit
59295.496551	0.04167	14.881	14.853	14.909	17.97767	V	m3_data/M3-2_20210322_115502_Mar1mmrx_kait_V_c.fit
59295.497396	0.04167	14.521	14.489	14.553	17.62591	R	m3_data/M3-2_20210322_115615_Mar1mmsm_kait_R_c.fit
59295.498299	0.04167	14.13	14.095	14.165	16.95	I	m3_data/M3-2_20210322_115733_Mar1mmtb_kait_I_c.fit
59295.500093	0.04167	15.365	15.327	15.403	17.76157	B	m3_data/M3-2_20210322_120008_Mar1mmuf_kait_B_c.fit
59295.500961	0.04167	14.861	14.831	14.891	17.58579	V	m3_data/M3-2_20210322_120123_Mar1mmuv_kait_V_c.fit
59295.501817	0.04167	14.513	14.484	14.542	17.34111	R	m3_data/M3-2_20210322_120237_Mar1mmvk_kait_R_c.fit
59295.502708	0.04167	14.114	14.077	14.151	16.849	I	m3_data/M3-2_20210322_120354_Mar1mmvz_kait_I_c.fit
59295.504433	0.04167	15.357	15.32	15.394	17.75795	B	m3_data/M3-2_20210322_120623_Mar1mmxe_kait_B_c.fit
59295.505336	0.04167	14.862	14.833	14.891	17.52728	V	m3_data/M3-2_20210322_120741_Mar1mmxs_kait_V_c.fit
59295.506181	0.04167	14.474	14.438	14.51	17.25385	R	m3_data/M3-2_20210322_120854_Mar1mmyi_kait_R_c.fit
59295.50706	0.04167	14.063	14.022	14.104	16.74351	I	m3_data/M3-2_20210322_121010_Mar1mmyx_kait_I_c.fit
59300.339641	0.04167	14.782	14.753	14.811	17.41705	B	m3_data/M3-2_20210327_080905_Mar1rirq_kait_B_c.fit
59300.340532	0.04167	14.45	14.418	14.482	17.15522	V	m3_data/M3-2_20210327_081022_Mar1risf_kait_V_c.fit
59300.341389	0.04167	14.216	14.188	14.244	17.09511	R	m3_data/M3-2_20210327_081136_Mar1risu_kait_R_c.fit
59300.342361	0.04167	13.956	13.918	13.994	16.57585	I	m3_data/M3-2_20210327_081300_Mar1ritj_kait_I_c.fit
59300.344086	0.04167	14.712	14.684	14.74	17.49614	B	m3_data/M3-2_20210327_081529_Mar1riup_kait_B_c.fit
59300.344988	0.04167	14.511	14.486	14.536	17.53869	V	m3_data/M3-2_20210327_081647_Mar1rive_kait_V_c.fit
59300.345845	0.04167	14.289	14.261	14.317	17.45435	R	m3_data/M3-2_20210327_081801_Mar1rivt_kait_R_c.fit
59300.346736	0.04167	13.992	13.956	14.028	16.76597	I	m3_data/M3-2_20210327_081918_Mar1riwi_kait_I_c.fit
59300.348461	0.04167	14.729	14.702	14.756	17.72576	B	m3_data/M3-2_20210327_082147_Mar1rixm_kait_B_c.fit
59300.349352	0.04167	14.508	14.487	14.529	17.63435	V	m3_data/M3-2_20210327_082304_Mar1riyb_kait_V_c.fit
59300.350208	0.04167	14.308	14.279	14.337	17.58555	R	m3_data/M3-2_20210327_082418_Mar1riyr_kait_R_c.fit
59300.351111	0.04167	14.031	13.999	14.063	16.97404	I	m3_data/M3-2_20210327_082536_Mar1rizf_kait_I_c.fit
59305.455266	0.04167	15.318	15.28	15.356	17.63558	B	m3_data/M3-2_20210401_105535_Apr11lqm_kait_B_c.fit
59305.456134	0.04167	14.88	14.85	14.91	17.53109	V	m3_data/M3-2_20210401_105650_Apr11lrb_kait_V_c.fit
59305.457002	0.04167	14.539	14.507	14.571	17.45504	R	m3_data/M3-2_20210401_105805_Apr11lrq_kait_R_c.fit
