,MJD,O-C,O-C err
0,13804.0,-0.0874,0.0085
1,15042.100000000093,-0.0538,0.0057
2,20274.0,0.0283,0.0015
3,22752.899999999907,0.0562,0.0015
4,24529.399999999907,0.063,0.0009
5,29510.0,0.0888,0.0016
6,32164.799999999814,0.0936,0.0011
7,33496.700000000186,0.0958,0.0024
8,34319.5,0.0905,0.0015
9,35569.700000000186,0.0913,0.001
10,36777.200000000186,0.0918,0.0018
11,38086.299999999814,0.0902,0.0069
12,43042.200000000186,0.036,0.0032
13,43914.700000000186,0.0342,0.0018
14,47514.5,0.0165,0.003
15,48940.0,0.0,0.0002
16,51044.10000000009,-0.0186,0.0004
17,54929.200000000186,-0.0686,0.0004
18,59320.10889936538,-0.11546421923072303,0.0007131993377350281
