Title: BV Photometry Of The RR Lyrae Variables Of The Globular Cluster M3  
Authors: Corwin T.M., Carney B.W. 
Table: B and V Photometry of the Variable Stars
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---   Name   Variable name
   6- 16 F11.3  d     JD     Julian date of observation
      18 A1     ---   Filt   Filter used 
  20- 25 F6.3   mag   Mag    ? Observed magnitude in Filt
--------------------------------------------------------------------------------
name JD filter mag
v1   2448755.668 B 16.364
v1   2448755.683 B 16.429
v1   2448755.698 B 16.394
v1   2448755.714 B 16.162
v1   2448755.751 B 14.961
v1   2448755.765 B 15.001
v1   2448755.794 B 15.230
v1   2448755.808 B 15.350
v1   2448755.844 B 15.626
v1   2448755.858 B 15.710
v1   2448755.886 B 15.842
v1   2448755.900 B 15.919
v1   2448755.913 B 16.009
v1   2448755.927 B 16.013
v1   2448755.942 B 16.099
v1   2448756.662 B 16.360
v1   2448756.676 B 16.350
v1   2448756.708 B 16.326
v1   2448756.722 B 16.429
v1   2448756.753 B 16.230
v1   2448756.767 B 15.656
v1   2448756.781 B 15.167
v1   2448756.795 B 14.986
v1   2448756.810 B 15.045
v1   2448756.825 B 15.168
v1   2448756.840 B 15.297
v1   2448756.853 B 15.409
v1   2448756.867 B 15.514
v1   2448756.881 B 15.612
v1   2448756.895 B 15.710
v1   2448756.910 B 15.769
v1   2448756.925 B 15.854
v1   2448756.939 B 15.922
v1   2448757.639 B 16.451
v1   2448757.654 B 16.413
v1   2448757.763 B 16.397
v1   2448757.777 B 16.403
v1   2448757.830 B 14.996
v1   2448757.872 B 15.235
v1   2448757.886 B 15.354
v1   2448757.900 B 15.465
v1   2448757.914 B 15.575
v1   2448757.939 B 15.681
v1   2448757.942 B 15.740
v1   2448758.663 B 16.444
v1   2448758.678 B 16.444
v1   2448758.705 B 16.389
v1   2448758.719 B 16.336
v1   2448758.755 B 16.352
v1   2448758.780 B 16.292
v1   2448758.799 B 16.273
v1   2448758.830 B 16.321
v1   2448758.848 B 15.717
v1   2448758.878 B 14.979
v1   2448758.898 B 15.080
v1   2448758.918 B 15.249
v1   2448758.938 B 15.422
v1   2448759.759 B 16.385
v1   2448759.789 B 16.372
v1   2448759.803 B 16.313
v1   2448759.817 B 16.278
v1   2448759.836 B 16.376
v1   2448759.850 B 16.404
v1   2448759.865 B 16.412
v1   2448759.878 B 16.190
v1   2448759.892 B 15.603
