id,err_C_1,err_C_2,err_C_3,err_C_4,err_phi_21,err_phi_31,err_phi_41,err_[Fe/H],err_BV_0,err_log T_eff,err_M_v,err_log L,err_mass,err_log g
V002,0.006796017956091493,0.0059838974239377635,0.0061908148933413724,0.006279343901516844,0.08327716681557311,0.14876752814877228,0.22052790389713958,0.20009232806799435,0.0027955407461262524,0.0016649641110913045,0.009368407080962092,0.0037473628323848366,0.013914347278875486,0.01587468035124619
V006,0.010014757570665226,0.013757983138708253,0.01297245186346236,0.012976525355275121,0.1276457559740312,0.18021954576158786,0.23241136519359695,0.2423952960621421,0.004926753035351816,0.0023228709374717533,0.01574558071146813,0.006298232284587251,0.019440440848206474,0.022448388373280753
V008,0.007088942125762809,0.006944501605901214,0.007399112637425207,0.0069047007980709745,0.07776158344242627,0.10490763149404297,0.14070150680654347,0.14110076463845095,0.003102129897093957,0.0014047543409459555,0.010212210164418698,0.004084884065767479,0.011867789195679452,0.013751510984555518
V009,0.0035853075134922906,0.00363196726423878,0.0036060110788211095,0.003731878485188525,0.03603267145161183,0.055216995893199054,0.08746710156340136,0.07426686016080428,0.0015413167624246185,0.000718735290162018,0.005099225471745033,0.0020396901886980136,0.006068442248175087,0.0070179494200582355
V012,0.008890985051667532,0.007810145104257346,0.0075718678856093215,0.009898077118139533,0.09009377002918335,0.14989896033425817,0.22456645555371174,0.20161410387908882,0.003558989855823501,0.0018179846057234511,0.012026955671417023,0.00481078226856681,0.015337925960351146,0.01764303509113808
V013,0.0068379475213711524,0.006839022379622389,0.006216993953153701,0.006140541795239212,0.04949160141034084,0.07544235542374902,0.09930939130735822,0.10146996992519791,0.0028105051586485544,0.0011504369612884474,0.00942085738374015,0.0037683429534960604,0.00984431006320389,0.011501605647301525
V015,0.01149640374588636,0.011594492502834484,0.01182752728379069,0.012498358318589286,0.13899552617029695,0.23913858923392337,0.36316211876997884,0.32164143708722676,0.004995774643940913,0.0027671155236970416,0.016478013890279336,0.006591205556111734,0.023137066525225587,0.02648166707779922
V019,0.008879141400486295,0.008976590618129636,0.009106524134547623,0.008840539879296084,0.05817159646286929,0.08006732891158606,0.11293983071250134,0.10769055793610388,0.0038526803600709664,0.0014516412444380556,0.012712901789499515,0.005085160715799806,0.012446989128652126,0.014645907097723803
V020,0.005456788919799535,0.00494468957727872,0.0049739710858058535,0.0048999639444071,0.04753226712075337,0.06683077630452536,0.11283042436634473,0.08988739582849858,0.0022452429966740967,0.0009584312889761238,0.0075236510930021105,0.003009460437200844,0.008171647581167034,0.009514731992278347
V021,0.01247786240922182,0.012067155328478093,0.010266865802949462,0.01191201006118611,0.11067257501461047,0.1597052958570894,0.16431272473708763,0.21480362363858227,0.004929777041041219,0.0021864790326209704,0.0167282344909995,0.0066912937963998,0.018651636650040344,0.021659824822844825
