id,C_1,C_2,C_3,C_4,phi_21,phi_31,phi_41,[Fe/H],log T_eff,M_v,log L,mass,log g
V003,0.258926937392158,0.04973402237559016,0.022981492087523748,0.011422189344442208,4.531971319991435,2.769705767362492,2.0388071688361933,-1.1809520611802808,3.8672878927557655,1.2742720980869173,1.422291160765233,0.33602278090234083,2.966229131947671
V004,0.29992082142382576,0.09665240442394947,0.026577274316702492,0.021754941112022246,4.454222878333363,2.5655391741777134,1.0421820294574093,-0.6643738309464879,3.8796883236263238,1.3213821047544132,1.4034471580982348,0.31646319593166944,3.008629346074196
V005,0.253234701125069,0.051839332055547985,0.018670273493236193,0.010525385529003436,4.580399564195334,2.5339643944113526,1.9844658823095216,-1.283858283904563,3.8667034287899864,1.2809984596885426,1.4196006161245829,0.35454027595154763,2.989878677425942
V007,0.28527781073842046,0.05470189489364527,0.030892782812729943,0.006237541318847102,4.85868719826137,2.85657658318857,3.665996684549709,-0.9479375595322419,3.8713034971814255,1.3063101112418525,1.409475955503259,0.31928181386779153,2.9729122152701937
V010,0.2533796193036465,0.045190738575541095,0.022757008558846024,0.0086635238773554,4.599931016352139,2.5095331396464093,0.5457566082562995,-1.3168031100569464,3.8662101924779386,1.2860598155004286,1.4175760737998284,0.3577910365014623,2.99389415239159
V011,0.30837774853648153,0.06145634905758383,0.029008722816114822,0.016577529411259853,4.3743881246533345,2.7676662034092754,0.6717713312231028,-0.7955040785795668,3.8751183489799286,1.3101810946607944,1.4079275621356824,0.31514412397944574,2.984055047682306
V016,0.19438920708156898,0.07938165214825456,0.011446528524157019,0.020450528598379588,6.048286069126929,4.356122903949359,1.6099403053385597,-0.21884879062306561,3.8744950440172437,1.1563074965014324,1.4694770013994272,0.22796483039380278,2.779371025424176
V018,0.28673951128069197,0.05166908195943888,0.01984690952792745,0.004636527743722081,4.50750414815976,2.6001385378231348,2.5556930919974494,-1.1043494668318066,3.869839566075009,1.328697363115678,1.4005210547537288,0.3407863615852026,3.0043194153393014
V024,0.279226291924743,0.04832013811845146,0.023070534153527625,0.004355748611335562,4.639757194378101,2.5061399932181443,1.8885574362889432,-1.1767526479848662,3.8689769711298694,1.3219017080529898,1.403239316778804,0.3499661814151384,3.009694646564064
V026,0.18540699642023817,0.019208481484299558,0.024774241930363608,0.04009710053763569,4.209876927852758,4.773829758730368,2.02131221143218,0.06051518657886046,3.876343020216282,1.1465783249674437,1.4733686700130224,0.20591081208066536,2.738682562247643
V038,0.2793106328511911,0.04546375251576793,0.02033619835643683,0.008104485117780755,4.763453912949437,2.596318471195741,1.0147213047263515,-1.1708915003852298,3.8685357950097177,1.2935261984055317,1.4145895206377872,0.3447426009542239,2.9900486132939754
V040,0.26483759125964573,0.05101953400048274,0.020458585066342697,0.008930984407801766,4.622191309294858,2.983356128670426,1.7613852137100654,-0.9526992114833517,3.870359527358747,1.2937916889290606,1.4144833244283759,0.31343797743978974,2.9561064012403104
V041,0.22062288828640353,0.04496805334038589,0.017422794889025865,0.004385253423376953,4.565286727282432,3.375011601895551,3.247576700107963,-0.8263915766775201,3.8701862227145662,1.3008472786925227,1.411661088522991,0.2894308717598239,2.9236286550335304
V042,0.2941582896101156,0.059875874313617294,0.032425382400426646,0.008072110299802423,4.484799417944359,2.220745474613663,1.1932033287854908,-1.2611979165847536,3.8690208989700756,1.3230616043588121,1.4027753582564753,0.3711406670325895,3.0358467815716477
V048,0.26959304898193764,0.08272027698798642,0.05892696233327659,0.04068341410169022,5.218898188371186,1.4926524734851663,5.350812255103666,-1.6978848029864162,3.8641116739403483,1.1402328678724942,1.4759068528510024,0.44937410772563074,3.026147888305845
V050,0.27603037462263363,0.09568655218230875,0.0059851629888440306,0.01890762983583964,4.4846641957338775,5.089214739795331,0.4355843411310385,1.186451763423539,3.897023492034847,1.3539008537024533,1.3904396585190189,0.1626483207921151,2.8019038935340728
V051,0.22194446331506196,0.02993482361811469,0.01811021058101914,0.00972585927654412,4.33267981173478,4.14561827707894,2.459472385683375,-0.34941744723916557,3.873669985108463,1.281828168095844,1.4192687327616624,0.2397487908603855,2.84816763321672
V057,0.26050484277991703,0.06145521972836298,0.026214521416145522,0.03228954011499716,4.403474396740503,2.727578642064082,2.942214057749343,-0.8709337101563448,3.8737990502335125,1.2317840444229746,1.4392863822308102,0.32124741899288506,2.9557494657923176
V061,0.17506930005378696,0.0427183591944502,0.00876385098649133,0.05167900021948637,5.530827904100974,0.5626015876516499,5.594068853300229,-2.44538771931746,3.8531734986875583,1.0396875546808697,1.516124978127652,0.5962575772459936,3.0650029277235227
V064,0.2877228360354355,0.06614200519967135,0.019139116674335318,0.028342823269315975,4.822263155465366,3.3478330176183366,2.3060017944607196,-0.6099743402862141,3.8746256708287423,1.2133906302053603,1.446643747917856,0.28060188091760907,2.892949513241989
V066,0.22706462814823114,0.02940819053776609,0.026594437107801717,0.01368157551374299,4.819058088661062,3.0688799074202047,1.917904628954739,-0.9163359627729712,3.8705031801451315,1.2617846331458225,1.427286146741671,0.3075705357871967,2.9356713030243995
V070,0.2614662580341993,0.04720045884737069,0.04498356064926337,0.04439813811347482,4.617636246246301,2.5337356623561007,2.4445995859166203,-1.1425275470379481,3.869492300699408,1.1471944221623094,1.4731222311350762,0.3464961840700913,2.9375454277924096
V074,0.2979080263165047,0.10113318602824423,0.007622925190571736,0.009648068930423866,4.084002121356942,2.5400407779059897,6.145348718252461,-0.5299337890340248,3.883183408690485,1.4155882061738458,1.3657647175304617,0.30910058492429615,3.0500687441296375
V092,0.22344410546661175,0.2232047394842441,0.10177040210622725,0.07415548319105823,4.41064568406576,2.8965458974809724,3.808554338096199,-0.9771551705282846,3.870451699966134,1.0168738697430322,1.5252504521027872,0.31888174605781167,2.853186007132452
V093,0.13144108060351306,0.01339068971717633,0.025996398306703743,0.03405582884070999,5.737587404833166,3.3415331107469335,1.4227549875936756,-0.4128582085071639,3.8788237887157178,1.1757291871555529,1.461708325137779,0.271407997285023,2.8802094701217094
V096,0.20842956834390264,0.052722352717825736,0.04148325153442812,0.030399993188660563,4.770752651774549,3.017329594182778,0.9181416091307284,-1.0933961609551819,3.8674472649604086,1.1712484526681937,1.4635006189327224,0.3188052510139671,2.902813906919091
V099,0.09665917512414894,0.012192127299035061,0.007772726714202475,0.009834006479448225,1.9933769700368718,5.226999088009878,0.7981138892054016,1.9133695991854038,3.915487458915034,1.620964120067513,1.2836143519729948,0.13574760770316563,2.904067668390244
V100,0.12904721375972864,0.035164431849357115,0.021910179560482485,0.0752196388035642,3.9122571950153158,1.4316263940775755,0.5045734550342544,-1.3518925515437015,3.8719449124209975,1.0982482663422388,1.4927006934631044,0.4266228474603408,3.0181230662659644
V107,0.1384078979777214,0.04624328193918941,0.019211197753607797,0.019713109098938083,3.972502167847841,1.3295351308713306,5.047102553412194,-0.6098595833291451,3.893076594298099,1.4860780046517483,1.3375687981393007,0.36605681722772937,3.1912860783638823
V111,0.06253569205777709,0.018979168305948316,0.020639895711957,0.03011105637463272,1.2100658956545631,5.847116259170097,3.748110558021141,1.108013190656722,3.8862632499891467,1.348854961042579,1.3924580155829684,0.15192019421131395,2.727210491295102
V113,0.039203681995480515,0.01102325780979671,0.009312512451621324,0.008842690796807804,1.8777273064295965,2.6304607368712434,3.994558983068801,-1.4133900852679333,3.8637374796740716,1.3841924961614975,1.378323001535401,0.35612960705067515,3.021234997670952
V114,0.07743590206229928,0.09440509600666341,0.1270893668975291,0.04945904469620846,3.847701949430217,4.374109565018884,5.8397639831178765,0.24717408869445023,3.883626198731408,1.1838998381486752,1.45844006474053,0.210643924365402,2.79261366740713
V118,0.1557313441648482,0.020412834184040024,0.0301693318011314,0.017970108310896914,3.8655445487034297,2.5076470272881473,3.6325013470674055,-0.5829611805220485,3.8821586248102866,1.3826103631619875,1.3789558547352052,0.31382208579926896,3.0393621490953713
